[ 1108.545847]  logcat
D/NetworkManagementService(  973): enabling bandwidth control
D/SystemUIService( 1127): loading: class com.android.systemui.statusbar.tablet.TabletStatusBar
D/SystemUIService( 1127): running: com.android.systemui.statusbar.tablet.TabletStatusBar@413f9950
D/NetworkManagementService(  973): rsp <213 a4:a8:20:13:03:6e 0.0.0.0 0 [down broadcast multicast]>
D/NetworkManagementService(  973): flags <[down broadcast multicast]>
D/NetworkManagementService(  973): Registering observer
D/NetworkManagementService(  973): Registering observer
I/ActivityManager(  973): Config changed: {1.0 0mcc0mnc zh_CN layoutdir=0 sw720dp w1280dp h720dp xlrg long land -touch -keyb/v/h -nav/h s.3}
W/RecognitionManagerService(  973): no available voice recognition services found
W/InputManagerService(  973): Ignoring setImeWindowStatus of uid 1000 token: null
I/ActivityManager(  973): Start proc com.android.inputmethod.pinyin for service com.android.inputmethod.pinyin/.PinyinIME: pid=1184 uid=10022 gids={3003}
D/NetworkManagementService(  973): Registering observer
I/SystemServer(  973): SIP Service
W/ThrottleService(  973): unable to find stats for iface rmnet0
I/ActivityManager(  973): Start proc com.coship.sdp.sce.tvappstore for added application com.coship.sdp.sce.tvappstore: pid=1218 uid=1000 gids={3003, 1015, 3002, 3001, 3004}
I/ActivityManager(  973): Start proc com.coship.easycontrolime for added application com.coship.easycontrolime: pid=1226 uid=10013 gids={3003}
I/ActivityManager(  973): Start proc com.coship.netfirmware for added application com.coship.netfirmware: pid=1237 uid=1000 gids={3003, 1015, 3002, 3001, 3004}
I/ActivityManager(  973): Start proc com.iflytek.vaf.TouchKey for added application com.iflytek.vaf.TouchKey: pid=1248 uid=10032 gids={1015}
I/ActivityManager(  973): START {act=android.intent.action.MAIN cat=[android.intent.category.HOME] flg=0x10000000 cmp=com.coship.cibn/.MainActivity} from pid 0
I/ActivityManager(  973): Start proc com.coship.cibn for activity com.coship.cibn/.MainActivity: pid=1260 uid=10006 gids={3003, 1015}
I/SystemServer(  973): Enabled StrictMode for system server main thread.
I/EthernetStateTracker(  973): received interface reset event
I/EthernetStateTracker(  973): reset device eth0
I/EthernetStateTracker(  973): trigger dhcp for device eth0
I/ActivityManager(  973): Start proc com.google.process.gapps for service com.google.android.location/.NetworkLocationService: pid=1276 uid=10014 gids={3003, 1015, 2001, 1007}
I/StatusBar.HeightReceiver( 1127): Resizing status bar plugged=false height=48 old=0
V/EthernetMonitor(  973): get event 
V/EthernetMonitor(  973): go poll events
W/MountService(  973): getVolumeState(/mnt/sdcard): Unknown volume
W/MountService(  973): getVolumeState(/mnt/sdcard): Unknown volume
W/ActivityThread( 1276): ClassLoader.loadClass: The class loader returned by Thread.getContextClassLoader() may fail for processes that host multiple applications. You should explicitly specify a context class loader. For example: Thread.setContextClassLoader(getClass().getClassLoader());
I/StatusBarManagerService(  973): registerStatusBar bar=com.android.internal.statusbar.IStatusBar$Stub$Proxy@415f5f18
D/SystemUIService( 1127): loading: class com.android.systemui.power.PowerUI
D/SystemUIService( 1127): running: com.android.systemui.power.PowerUI@4142d8f8
I/StatusBar.HeightReceiver( 1127): Resizing status bar plugged=false height=48 old=48
I/StatusBar.HeightReceiver( 1127): Resizing status bar plugged=false height=48 old=48
D/WifiService(  973): New client listening to asynchronous messages
I/ActivityManager(  973): Start proc com.aidufei.cibn.uploadchecker for content provider com.aidufei.cibn.uploadchecker/.contentprovider.AuthResultProvider: pid=1317 uid=10002 gids={3003}
D/PowerManagerService(  973): bootCompleted
V/DevicePolicyManagerService(  973): Sending password expiration notifications for action android.intent.action.BOOT_COMPLETED
I/ActivityManager(  973): Start proc com.android.contacts for broadcast com.android.contacts/.calllog.CallLogReceiver: pid=1348 uid=10001 gids={3003, 1015}
V/WiredAccessoryObserver(  973): init()
W/WiredAccessoryObserver(  973): This kernel does not have wired headset support
W/WiredAccessoryObserver(  973): This kernel does not have wired headset support
W/WiredAccessoryObserver(  973): This kernel does not have wired headset support
V/EthernetMonitor(  973): get event 
V/EthernetMonitor(  973): go poll events
V/EthernetMonitor(  973): get event 
V/EthernetMonitor(  973): go poll events
I/ActivityManager(  973): Start proc android.process.acore for content provider com.android.providers.contacts/.CallLogProvider: pid=1378 uid=10001 gids={3003, 1015}
I/ActivityManager(  973): Start proc com.aidufei.movieonline for broadcast com.aidufei.movieonline/com.aidufei.otoService.BootReceiver: pid=1389 uid=10000 gids={3003, 1015}
W/MountService(  973): getVolumeState(/mnt/sdcard): Unknown volume
I/ActivityManager(  973): Start proc android.process.media for content provider com.android.providers.downloads/.DownloadProvider: pid=1446 uid=10012 gids={1015, 1023, 1024, 2001, 3003, 3007}
I/MicrophoneObserver(  973): Microphone PLUG_IN
W/MountService(  973): getVolumeState(/mnt/sdcard): Unknown volume
I/ActivityManager(  973): Start proc com.coship.HS for broadcast com.coship.HS/.AutoStartReceiver: pid=1484 uid=1000 gids={3003, 1015, 3002, 3001, 3004}
I/ActivityManager(  973): Start proc com.android.providers.calendar for broadcast com.android.providers.calendar/.CalendarReceiver: pid=1499 uid=10007 gids={3003, 1015}
I/ActivityManager(  973): Start proc com.coship.cw880 for broadcast com.coship.cw880/.BootCw880Recive: pid=1517 uid=1000 gids={3003, 1015, 3002, 3001, 3004}
I/ActivityManager(  973): START {flg=0x10000000 cmp=com.google.android.gsf/.update.SystemUpdateInstallDialog} from pid 1276
I/ActivityManager(  973): Start proc com.android.settings for broadcast com.android.settings/.SettingGlobalReceiver: pid=1550 uid=1000 gids={3003, 1015, 3002, 3001, 3004}
I/ActivityManager(  973): Start proc com.iflytek.vac for broadcast com.iflytek.vaf/com.iflytek.vocmd.Loader: pid=1565 uid=10030 gids={3003, 1015}
W/InputManagerService(  973): Window already focused, ignoring focus gain of: com.android.internal.view.IInputMethodClient$Stub$Proxy@415bac00
I/ActivityManager(  973): Start proc com.coship.changetheaudiooutput for broadcast com.coship.changetheaudiooutput/.BootCompletedReceiver: pid=1579 uid=10034 gids={3002, 3001, 3004}
I/ActivityManager(  973): Start proc com.iflytek.vaf.svc.rec for service com.iflytek.vaf/.svc.VAFSvc: pid=1598 uid=10030 gids={3003, 1015}
V/EthernetMonitor(  973): get event eth0:16:
V/EthernetMonitor(  973): dev: eth0 ev 16
V/EthernetStateTracker(  973): report interface is up for eth0
V/EthernetMonitor(  973): go poll events
I/EthernetStateTracker(  973): received interface up event, kick off connection request
V/EthernetMonitor(  973): get event 
V/EthernetMonitor(  973): go poll events
V/EthernetMonitor(  973): get event 
V/EthernetMonitor(  973): go poll events
V/EthernetMonitor(  973): get event 
V/EthernetMonitor(  973): go poll events
V/EthernetMonitor(  973): get event 
V/EthernetMonitor(  973): go poll events
V/EthernetMonitor(  973): get event 
V/EthernetMonitor(  973): go poll events
I/ActivityManager(  973): Start proc com.coship.Multimedia for broadcast com.coship.Multimedia/.view.BootCompletedReceiver: pid=1618 uid=1000 gids={3003, 1015, 3002, 3001, 3004}
