--------- beginning of /dev/log/system
03-24 22:30:59.822 I/SystemServer(  380): Text Service Manager Service
03-24 22:30:59.822 D/MountService(  380): volume state changed for /mnt/usbdisk (null -> removed)
03-24 22:30:59.822 W/MountService(  380): getSecureContainerList() called when storage not mounted
03-24 22:30:59.822 W/TextServicesManagerService(  380): no available spell checker services found
03-24 22:30:59.822 I/SystemServer(  380): NetworkStats Service
03-24 22:30:59.822 D/VoldCmdListener(  112): asec list
03-24 22:30:59.822 I/SystemServer(  380): NetworkPolicy Service
03-24 22:30:59.822 W/PackageManager(  380): Unknown permission android.permission.READ_MMS in package com.android.launcher
03-24 22:30:59.822 W/PackageManager(  380): Unknown permission android.permission.WRITE_MMS in package com.android.launcher
03-24 22:30:59.832 W/PackageManager(  380): Not granting permission android.permission.INSTALL_PACKAGES to package com.tencent.mm (protectionLevel=18 flags=0x10be44)
03-24 22:30:59.832 W/PackageManager(  380): Unknown permission com.tencent.mm.location.permission.SEND_VIEW in package com.tencent.mm
03-24 22:30:59.832 W/PackageManager(  380): Unknown permission android.permission.ADD_SYSTEM_SERVICE in package com.android.phone
03-24 22:30:59.832 W/PackageManager(  380): Not granting permission android.permission.CLEAR_APP_USER_DATA to package com.smart.Installback (protectionLevel=2 flags=0x8be45)
03-24 22:30:59.832 W/PackageManager(  380): Unknown permission com.android.vending.BILLING in package com.gameon.bubblebust
03-24 22:30:59.832 W/PackageManager(  380): Unknown permission com.google.android.gm.permission.AUTO_SEND in package com.google.android.voicesearch
03-24 22:30:59.832 W/PackageManager(  380): Unknown permission com.google.android.apps.googlevoice.permission.AUTO_SEND in package com.google.android.voicesearch
03-24 22:30:59.832 W/PackageManager(  380): Unknown permission com.android.vending.BILLING in package com.disney.TempleRunOz.goo
03-24 22:30:59.832 W/PackageManager(  380): Not granting permission android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS to package com.android.browser (protectionLevel=2 flags=0x19be45)
03-24 22:30:59.832 W/PackageManager(  380): Not granting permission android.permission.INJECT_EVENTS to package com.android.browser (protectionLevel=2 flags=0x19be45)
03-24 22:30:59.832 W/PackageManager(  380): Not granting permission android.permission.INSTALL_PACKAGES to package com.qihoo.appstore (protectionLevel=18 flags=0xbe44)
